output,time_step,indicator,cor_value,p_value
WT,5,pH,0.020195347078420328,
WT,5,TP,0.07570496137528199,***
WT,5,WT,0.7508358030225257,***
WT,6,AN,0.20595073894033172,***
WT,6,BOD,0.18753521622115607,***
WT,6,COD,0.0636533810832459,***
WT,6,DO,0.6855463803919809,***
WT,6,pH,0.01424164532424365,
WT,6,TP,0.07776623891669754,***
WT,6,WT,0.8756342120709328,***
WT,7,AN,0.18131681413099476,***
WT,7,BOD,0.11149264761842426,***
WT,7,COD,0.022407304819515313,
WT,7,DO,0.5674044208166795,***
WT,7,pH,0.02132367505805252,
WT,7,TP,0.07504682236247553,***
WT,7,WT,0.7561483858059871,***
WT,8,AN,0.12107666382871615,***
WT,8,BOD,0.0029942282523513115,
WT,8,COD,0.027302167258628798,
WT,8,DO,0.2969091758178375,***
WT,8,pH,0.06875279540373719,***
WT,8,TP,0.07107295150972337,***
WT,8,WT,0.43058154283278216,***
WT,9,AN,0.036789072425399784,*
WT,9,BOD,0.12410218866514858,***
WT,9,COD,0.07557800218761536,***
WT,9,DO,0.07265440984005844,***
WT,9,pH,0.11993699096592278,***
WT,9,TP,0.0522449231381627,**
WT,9,WT,0.01874130407336981,
WT,10,AN,0.04396588154655269,**
WT,10,BOD,0.20832461106379296,***
WT,10,COD,0.1265640372842438,***
WT,10,DO,0.43214473248025354,***
WT,10,pH,0.1629325007041127,***
WT,10,TP,0.04346526302876624,**
WT,10,WT,0.47291282560379494,***
WT,11,AN,0.11013396962227101,***
WT,11,BOD,0.2419394026365959,***
WT,11,COD,0.13784720072058748,***
WT,11,DO,0.6846396063352767,***
WT,11,pH,0.17988315175982555,***
WT,11,TP,0.03167494941871241,
WT,11,WT,0.8048667547805721,***
WT,12,AN,0.1314994181183991,***
WT,12,BOD,0.21897111301499328,***
WT,12,COD,0.1285365799958979,***
WT,12,DO,0.7653088467674878,***
WT,12,pH,0.16701985621246634,***
WT,12,TP,0.029711862397146092,
WT,12,WT,0.9359169816457176,***
